"","sample.name","meancov_all","sdcov_all","meandep_all","sddep_all","meanbq_all","sdbq_all","meanmq_all","sdmq_all","nreads_all","meancov_chr","sdcov_chr","meandep_chr","sddep_chr","meanbq_chr","sdbq_chr","meanmq_chr","sdmq_chr","nreads_chr","Batch"
"667","RRAP-ECT01-2022-Aspat-OCCH-1521",73.5686935890957,19.9694092909636,9.76913033617021,57.3209091367424,35.8029255319149,1.85542482558448,27.0632409574468,13.0517501300386,22751871,86.6146714285714,1.74456288747401,6.03488357142857,0.22386252607029,35.9,0,40.4714285714286,2.1265459793284,14500996,"GBR"
"668","RRAP-ECT01-2022-Aspat-OCCH-1522",75.0282774042553,19.6502219974848,10.6044834183511,52.8109846966073,36.0014627659574,1.32070896052035,27.0050917553191,12.8739830422599,26020652,87.4840357142857,1.78347477893238,6.91207,0.254079233099259,36.0928571428571,0.0267261241912428,40.2285714285714,2.24068278447873,16703442,"GBR"
"669","RRAP-ECT01-2022-Aspat-OCCH-1523",71.6939954042553,20.4592234367663,7.6353588206117,38.8751910304981,35.793085106383,1.31539286104915,27.4807553191489,12.9902532837818,20521657,86.0910071428571,2.00619231322358,5.59049857142857,0.197540154237724,35.8571428571429,0.0513552591013103,41.7571428571429,1.98793061545622,13505635,"GBR"
"670","RRAP-ECT01-2022-Aspat-OCCH-1524",76.1922700744681,18.9379073090031,14.0262404461436,86.3599204229598,35.9606382978723,0.118887954373442,27.5173138297872,12.9395837522055,32108476,88.4873714285714,1.36576856944166,8.56220428571429,0.431248166849424,35.9928571428571,0.0267261241912428,41.0642857142857,2.25852475433281,20626143,"GBR"
"671","RRAP-ECT01-2022-Aspat-OCCH-1525",75.0028460704787,19.5532336749074,9.7829084143617,48.7481013571595,35.6728723404255,1.8488080860942,27.8153803191489,12.8078295571245,24758881,87.7852357142857,1.67602028104451,6.63426142857143,0.201500462563208,35.7928571428571,0.0267261241912409,41.6428571428571,1.90816637144115,15983043,"GBR"
"672","RRAP-ECT01-2022-Aspat-OCCH-1526",75.8815044707447,19.3089331722095,11.6147623910904,69.8884459110273,35.9170212765957,0.122350088491567,27.6905811170213,12.5700052444013,28164413,88.0765928571429,1.6260224586699,7.57629857142857,0.299440111203897,35.9,0,40.9142857142857,2.2664296363892,18259332,"GBR"
"673","RRAP-ECT01-2022-Aspat-OCCH-1527",75.3559182978723,19.9092764347606,12.0691924034574,61.9661094296912,35.8421542553192,1.85664449346351,27.642227393617,13.0365105616746,30543342,88.5645642857143,1.44381267195689,8.33654071428571,0.352967091045311,35.9214285714286,0.0425815313626326,41.8642857142857,2.05299299067976,19896439,"GBR"
"674","RRAP-ECT01-2022-Aspat-OCCH-1528",72.7615199867021,20.2442383233063,9.24600639481383,56.8383685132075,35.8460106382979,1.85647032469269,27.8619344414894,13.1809970538158,22122553,86.6018071428571,1.82788135512308,5.99453785714286,0.173322821267074,35.9142857142857,0.0363136519601287,41.9,1.98455575342734,14413286,"GBR"
"675","RRAP-ECT01-2022-Aspat-OCCH-1529",73.7554354321808,19.8138166512981,10.1864992640957,61.3256835864702,35.8603723404255,1.3149144943644,27.8362792553191,13.2766891180705,24342968,87.0235785714286,1.85250565209501,6.58476285714286,0.185370267901781,35.9,0,41.7714285714286,2.06934719228016,15796312,"GBR"
"676","RRAP-ECT01-2022-Aspat-OCCH-1530",73.8552415146277,19.7683598871027,10.5359157385771,61.0672791209497,36.1162234042553,0.130154443074542,27.2695904255319,12.9642695131833,25859461,87.2171214285714,1.62334978513262,6.94853,0.244322746067888,36.1,0,40.9357142857143,1.94722964662705,16789320,"GBR"
